"Source","Target"
"MAA","TRV"
"MEL","SYD"
"MRU","BLR"
"NAG","RPR"
"NRT","SIN"
"RPR","VTZ"
"VTZ","BOM"
"BLR","KUL"
"CGK","KUL"
"KUL","LGK"
"KUL","MAA"
"KUL","PEN"
"KUL","RGN"
"PEN","SIN"
"ALB","ATL"
"ATL","BDL"
"ATL","BNA"
"ATL","BOS"
"ATL","BWI"
"ATL","CDG"
"ATL","CLE"
"ATL","CMH"
"ATL","CUN"
"ATL","CZM"
"ATL","DCA"
"ATL","DTW"
"ATL","EWR"
"ATL","FCO"
"ATL","GDL"
"ATL","IAD"
"ATL","IND"
"ATL","JAX"
"ATL","JFK"
"ATL","LGA"
"ATL","MAD"
"ATL","MCI"
"ATL","MCO"
"ATL","MEM"
"ATL","MEX"
"ATL","MSY"
"ATL","MTY"
"ATL","PIT"
"ATL","RDU"
"ATL","RIC"
"ATL","SEA"
"ATL","SLC"
"ATL","STL"
"ATL","YUL"
"BOG","MEX"
"BOS","CUN"
"CDG","LYS"
"CDG","MEX"
"CDG","TLS"
"CJS","MEX"
"CUL","MEX"
"CUN","JFK"
"CUN","MEX"
"CUU","MEX"
"CUZ","LIM"
"DFW","MEX"
"GDL","LAX"
"GDL","MEX"
"GDL","MTY"
"GDL","SJC"
"GDL","TIJ"
"GUA","MEX"
"HAV","MEX"
"HMO","MEX"
"HMO","PHX"
"JFK","MEX"
"LAS","MTY"
"LAX","MEX"
"LAX","SJD"
"MEX","MID"
"MEX","MTY"
"MEX","MZT"
"MEX","ORD"
"MEX","PVR"
"MEX","SAT"
"MEX","SJD"
"MEX","SJO"
"MEX","TIJ"
"MEX","TRC"
"MEX","VER"
"MEX","VSA"
"MEX","ZIH"
"MID","VSA"
"MKE","ATL"
"MRS","CDG"
"MTY","SAT"
"MTY","TLC"
"NRT","MEX"
"PVR","ATL"
"PVR","SAN"
"PVR","SFO"
"SFO","ATL"
"SJD","ATL"
"SJU","ATL"
"TIJ","NRT"
"TPA","ATL"
"VER","VSA"
"CDG","LIN"
"AEP","MVD"
"CNF","AEP"
"CRD","NQN"
"EZE","SCL"
"MDZ","NQN"
"ABQ","LAX"
"ADQ","ANC"
"ANC","ANI"
"ANC","BET"
"ANC","FAI"
"ANC","LAX"
"ANC","UNK"
"ATL","BHM"
"ATL","CHS"
"ATL","HSV"
"ATL","JAN"
"ATL","LAX"
"ATL","ORF"
"ATL","PBI"
"ATL","PDX"
"ATL","PNS"
"ATL","RSW"
"ATL","SAN"
"ATL","SAV"
"AUS","LAX"
"BDL","LAX"
"BNA","LAX"
"BOS","LAX"
"BOS","PDX"
"BOS","SAN"
"BOS","SEA"
"BUR","PDX"
"BUR","SEA"
"CMH","LAX"
"DCA","LAX"
"DCA","PDX"
"DEN","LAX"
"DEN","SEA"
"DFW","LAX"
"DFW","PDX"
"DFW","SAN"
"DFW","SEA"
"DFW","SFO"
"DFW","SNA"
"ELP","LAX"
"EUG","PDX"
"EWR","SEA"
"FAT","LAX"
"HNL","OAK"
"HNL","SJC"
"IAH","LAX"
"IND","LAX"
"JFK","LAX"
"JFK","SAN"
"JFK","SEA"
"JFK","SFO"
"JNU","KTN"
"KOA","LAX"
"KOA","OAK"
"KOA","SJC"
"KTN","SEA"
"LAX","LIH"
"LAX","MCO"
"LAX","MIA"
"LAX","MZT"
"LAX","OKC"
"LAX","ORD"
"LAX","PDX"
"LAX","PHX"
"LAX","PIT"
"LAX","PVR"
"LAX","RDU"
"LAX","RNO"
"LAX","SAN"
"LAX","SEA"
"LAX","SFO"
"LAX","SMF"
"LAX","STL"
"LAX","TUS"
"LAX","ZIH"
"LGB","PDX"
"LGB","SEA"
"LIH","OAK"
"LIH","SJC"
"MCI","SEA"
"MCO","SAN"
"MCO","SEA"
"MIA","SFO"
"MSP","LAX"
