source_city,target_city,Source,Target,latitude.x,longitude.x,aiportname.x,latitude.y,longitude.y,aiportname.y
Monastir_Tunisia,Tunis_Tunisia,MIR,TUN,35.758099,10.7547,Monastir Habib Bourguiba International Airport,36.851002,10.2272,Tunis Carthage International Airport
Tunis_Tunisia,Gafsa_Tunisia,TUN,GAF,36.851002,10.2272,Tunis Carthage International Airport,34.422001,8.8225,Gafsa Ksar International Airport
Kiev_Ukraine,Antalya_Turkey,KBP,AYT,50.345001,30.894699,Boryspil International Airport,36.898701,30.800501,Antalya International Airport
Kiev_Ukraine,Odessa_Ukraine,KBP,ODS,50.345001,30.894699,Boryspil International Airport,46.4268,30.6765,Odessa International Airport
Kiev_Ukraine,Moscow_Russia,KBP,SVO,50.345001,30.894699,Boryspil International Airport,55.972599,37.4146,Sheremetyevo International Airport
Odessa_Ukraine,Moscow_Russia,ODS,SVO,46.4268,30.6765,Odessa International Airport,55.972599,37.4146,Sheremetyevo International Airport
Bahrain_Bahrain,Colombo_Sri Lanka,BAH,CMB,26.2708,50.633598,Bahrain International Airport,7.18076,79.884102,Bandaranaike International Colombo Airport
Bangalore_India,Colombo_Sri Lanka,BLR,CMB,13.1979,77.706299,Kempegowda International Airport,7.18076,79.884102,Bandaranaike International Colombo Airport
Jakarta_Indonesia,Colombo_Sri Lanka,CGK,CMB,-6.12557,106.655998,Soekarno-Hatta International Airport,7.18076,79.884102,Bandaranaike International Colombo Airport
Colombo_Sri Lanka,Kochi_India,CMB,COK,7.18076,79.884102,Bandaranaike International Colombo Airport,10.152,76.401901,Cochin International Airport
Colombo_Sri Lanka,Dhaka_Bangladesh,CMB,DAC,7.18076,79.884102,Bandaranaike International Colombo Airport,23.843347,90.397783,Hazrat Shahjalal International Airport
Colombo_Sri Lanka,Doha_Qatar,CMB,DOH,7.18076,79.884102,Bandaranaike International Colombo Airport,25.273056,51.608056,Hamad International Airport
Colombo_Sri Lanka,Karachi_Pakistan,CMB,KHI,7.18076,79.884102,Bandaranaike International Colombo Airport,24.9065,67.160797,Jinnah International Airport
Colombo_Sri Lanka,Muscat_Oman,CMB,MCT,7.18076,79.884102,Bandaranaike International Colombo Airport,23.5933,58.284401,Muscat International Airport
Colombo_Sri Lanka,Mahe_Seychelles,CMB,SEZ,7.18076,79.884102,Bandaranaike International Colombo Airport,-4.67434,55.521801,Seychelles International Airport
Colombo_Sri Lanka,Trivandrum_India,CMB,TRV,7.18076,79.884102,Bandaranaike International Colombo Airport,8.48212,76.920097,Trivandrum International Airport
Colombo_Sri Lanka,Tiruchirappalli_India,CMB,TRZ,7.18076,79.884102,Bandaranaike International Colombo Airport,10.7654,78.709702,Tiruchirapally Civil Airport Airport
Mattala_Sri Lanka,Beijing_China,HRI,PEK,6.284467,81.124128,Mattala Rajapaksa International Airport,40.080101,116.584999,Beijing Capital International Airport
Mattala_Sri Lanka,Shanghai_China,HRI,PVG,6.284467,81.124128,Mattala Rajapaksa International Airport,31.1434,121.805,Shanghai Pudong International Airport
Antalya_Turkey,Moscow_Russia,AYT,VKO,36.898701,30.800501,Antalya International Airport,55.591499,37.261501,Vnukovo International Airport
Barcelona_Spain,Moscow_Russia,BCN,DME,41.2971,2.07846,Barcelona International Airport,55.408798,37.9063,Domodedovo International Airport
Bangkok_Thailand,Krasnoyarsk_Russia,BKK,KJA,13.6811,100.747002,Suvarnabhumi Airport,56.172901,92.493301,Yemelyanovo Airport
Moscow_Russia,Rome_Italy,DME,FCO,55.408798,37.9063,Domodedovo International Airport,41.800278,12.238889,Leonardo da Vinci–Fiumicino Airport
Moscow_Russia,Houston_US,DME,IAH,55.408798,37.9063,Domodedovo International Airport,29.9844,-95.3414,George Bush Intercontinental Houston Airport
Moscow_Russia,London_United Kingdom,DME,LGW,55.408798,37.9063,Domodedovo International Airport,51.148102,-0.190278,London Gatwick Airport
Moscow_Russia,Enfidha_Tunisia,DME,NBE,55.408798,37.9063,Domodedovo International Airport,36.075833,10.438611,Enfidha - Hammamet International Airport
Moscow_Russia,Novy Urengoy_Russia,DME,NUX,55.408798,37.9063,Domodedovo International Airport,66.069397,76.520302,Novy Urengoy Airport
Moscow_Russia,Paphos_Cyprus,DME,PFO,55.408798,37.9063,Domodedovo International Airport,34.717999,32.485699,Paphos International Airport
Moscow_Russia,Riga_Latvia,DME,RIX,55.408798,37.9063,Domodedovo International Airport,56.923599,23.9711,Riga International Airport
Moscow_Russia,Singapore_Singapore,DME,SIN,55.408798,37.9063,Domodedovo International Airport,1.35019,103.994003,Singapore Changi Airport
Moscow_Russia,Tel-aviv_Israel,DME,TLV,55.408798,37.9063,Domodedovo International Airport,32.011398,34.8867,Ben Gurion International Airport
Moscow_Russia,Berlin_Germany,DME,TXL,55.408798,37.9063,Domodedovo International Airport,52.5597,13.2877,Berlin-Tegel Airport
Moscow_Russia,Yakutsk_Russia,DME,YKS,55.408798,37.9063,Domodedovo International Airport,62.0933,129.770996,Yakutsk Airport
Dubai_United Arab Emirates,St. Petersburg_Russia,DWC,LED,24.896356,55.161389,Al Maktoum International Airport,59.800301,30.262501,Pulkovo Airport
Dubai_United Arab Emirates,Novosibirsk_Russia,DWC,OVB,24.896356,55.161389,Al Maktoum International Airport,55.0126,82.650703,Tolmachevo Airport
Dubai_United Arab Emirates,Tyumen_Russia,DWC,TJM,24.896356,55.161389,Al Maktoum International Airport,57.189602,65.324303,Roshchino International Airport
Yerevan_Armenia,Moscow_Russia,EVN,VKO,40.147301,44.395901,Zvartnots International Airport,55.591499,37.261501,Vnukovo International Airport
Frankfurt_Germany,Moscow_Russia,FRA,VKO,50.033333,8.570556,Frankfurt am Main Airport,55.591499,37.261501,Vnukovo International Airport
Phuket_Thailand,St. Petersburg_Russia,HKT,LED,8.1132,98.316902,Phuket International Airport,59.800301,30.262501,Pulkovo Airport
Istanbul_Turkey,Moscow_Russia,IST,VKO,41.275278,28.751944,Istanbul Airport,55.591499,37.261501,Vnukovo International Airport
Krasnodar_Russia,Moscow_Russia,KRR,VKO,45.034698,39.170502,Krasnodar Pashkovsky International Airport,55.591499,37.261501,Vnukovo International Airport
Larnaca_Cyprus,St. Petersburg_Russia,LCA,LED,34.875099,33.624901,Larnaca International Airport,59.800301,30.262501,Pulkovo Airport
St. Petersburg_Russia,Enfidha_Tunisia,LED,NBE,59.800301,30.262501,Pulkovo Airport,36.075833,10.438611,Enfidha - Hammamet International Airport
St. Petersburg_Russia,Moscow_Russia,LED,VKO,59.800301,30.262501,Pulkovo Airport,55.591499,37.261501,Vnukovo International Airport
Novy Urengoy_Russia,Moscow_Russia,NUX,VKO,66.069397,76.520302,Novy Urengoy Airport,55.591499,37.261501,Vnukovo International Airport
Punta Cana_Dominican Republic,Moscow_Russia,PUJ,SVO,18.5674,-68.363403,Punta Cana International Airport,55.972599,37.4146,Sheremetyevo International Airport
Riga_Latvia,Moscow_Russia,RIX,VKO,56.923599,23.9711,Riga International Airport,55.591499,37.261501,Vnukovo International Airport
Vienna_Austria,Moscow_Russia,VIE,VKO,48.110298,16.5697,Vienna International Airport,55.591499,37.261501,Vnukovo International Airport
North Eleuthera_Bahamas,Nassau_Bahamas,ELH,NAS,25.474899,-76.683502,North Eleuthera Airport,25.039,-77.466202,Lynden Pindling International Airport
Fort Lauderdale_US,Nassau_Bahamas,FLL,NAS,26.072599,-80.152702,Fort Lauderdale Hollywood International Airport,25.039,-77.466202,Lynden Pindling International Airport
Freeport_Bahamas,Nassau_Bahamas,FPO,NAS,26.558701,-78.695602,Grand Bahama International Airport,25.039,-77.466202,Lynden Pindling International Airport
Great Exuma_Bahamas,Nassau_Bahamas,GGT,NAS,23.562599,-75.877998,Exuma International Airport,25.039,-77.466202,Lynden Pindling International Airport
Governor's Harbor_Bahamas,Nassau_Bahamas,GHB,NAS,25.2847,-76.331001,Governor's Harbour Airport,25.039,-77.466202,Lynden Pindling International Airport
Havana_Cuba,Nassau_Bahamas,HAV,NAS,22.989201,-82.409103,José Martí International Airport,25.039,-77.466202,Lynden Pindling International Airport
Orlando_US,Nassau_Bahamas,MCO,NAS,28.429399,-81.308998,Orlando International Airport,25.039,-77.466202,Lynden Pindling International Airport
Marsh Harbor_Bahamas,Nassau_Bahamas,MHH,NAS,26.5114,-77.083503,Leonard M Thompson International Airport,25.039,-77.466202,Lynden Pindling International Airport
Miami_US,Nassau_Bahamas,MIA,NAS,25.7932,-80.290604,Miami International Airport,25.039,-77.466202,Lynden Pindling International Airport
Miami_US,Basse Terre_Saint Kitts and Nevis,MIA,SKB,25.7932,-80.290604,Miami International Airport,17.311199,-62.7187,Robert L. Bradshaw International Airport
Nassau_Bahamas,Cockburn Town_Bahamas,NAS,ZSA,25.039,-77.466202,Lynden Pindling International Airport,24.063299,-74.524002,San Salvador Airport
Basse Terre_Saint Kitts and Nevis,Nassau_Bahamas,SKB,NAS,17.311199,-62.7187,Robert L. Bradshaw International Airport,25.039,-77.466202,Lynden Pindling International Airport
Samara_Russia,Yekaterinburg_Russia,KUF,SVX,53.504902,50.164299,Kurumoch International Airport,56.743099,60.8027,Koltsovo Airport
Nizhnevartovsk_Russia,Novosibirsk_Russia,NJC,OVB,60.949299,76.483597,Nizhnevartovsk Airport,55.0126,82.650703,Tolmachevo Airport
Nizhnevartovsk_Russia,Yekaterinburg_Russia,NJC,SVX,60.949299,76.483597,Nizhnevartovsk Airport,56.743099,60.8027,Koltsovo Airport
Allentown_US,Charlotte_US,ABE,CLT,40.6521,-75.440804,Lehigh Valley International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Allentown_US,Philadelphia_US,ABE,PHL,40.6521,-75.440804,Lehigh Valley International Airport,39.871899,-75.241096,Philadelphia International Airport
Albuquerque_US,Dallas-Fort Worth_US,ABQ,DFW,35.040199,-106.609001,Albuquerque International Sunport,32.896801,-97.038002,Dallas Fort Worth International Airport
Bush Field_US,Charlotte_US,AGS,CLT,33.3699,-81.9645,Augusta Regional At Bush Field,35.214001,-80.9431,Charlotte Douglas International Airport
Bush Field_US,Washington_US,AGS,DCA,33.3699,-81.9645,Augusta Regional At Bush Field,38.8521,-77.037697,Ronald Reagan Washington National Airport
Albany_US,Charlotte_US,ALB,CLT,42.748299,-73.801697,Albany International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Albany_US,Washington_US,ALB,DCA,42.748299,-73.801697,Albany International Airport,38.8521,-77.037697,Ronald Reagan Washington National Airport
Albany_US,Philadelphia_US,ALB,PHL,42.748299,-73.801697,Albany International Airport,39.871899,-75.241096,Philadelphia International Airport
Amarillo_US,Dallas-Fort Worth_US,AMA,DFW,35.219398,-101.706001,Rick Husband Amarillo International Airport,32.896801,-97.038002,Dallas Fort Worth International Airport
Amsterdam_Netherlands,Philadelphia_US,AMS,PHL,52.308601,4.76389,Amsterdam Airport Schiphol,39.871899,-75.241096,Philadelphia International Airport
Anchorage_US,Phoenix_US,ANC,PHX,61.1744,-149.996002,Ted Stevens Anchorage International Airport,33.434299,-112.012001,Phoenix Sky Harbor International Airport
Antigua_Antigua and Barbuda,Charlotte_US,ANU,CLT,17.1367,-61.792702,V.C. Bird International Airport,35.214001,-80.9431,Charlotte Douglas International Airport
Antigua_Antigua and Barbuda,New York_US,ANU,JFK,17.1367,-61.792702,V.C. Bird International Airport,40.639801,-73.7789,John F Kennedy International Airport
